full_name,gw_points
David Raya Martín,2
Gabriel dos Santos Magalhães,15
William Saliba,2
Riccardo Calafiori,0
Jurriën Timber,9
Bukayo Saka,6
Leandro Trossard,13
Declan Rice,0
Mikel Merino Zazón,2
Martín Zubimendi Ibáñez,8
Eberechi Eze,0
Viktor Gyökeres,2
Emiliano Martínez Romero,1
Matty Cash,0
Lucas Digne,0
Ezri Konsa Ngoyo,0
Tyrone Mings,0
Pau Torres,0
Morgan Rogers,1
Emiliano Buendía Stati,2
John McGinn,1
Boubacar Kamara,0
Amadou Onana,1
Ollie Watkins,5
Evann Guessand,0
Kyle Walker,0
Hjalmar Ekdal,3
Maxime Estève,0
Quilindschy Hartman,0
Axel Tuanzebe,0
Jaidon Anthony,0
Jacob Bruun Larsen,1
Josh Cullen,0
Josh Laurent,10
Loum Tchaouna,2
Lyle Foster,0
Martin Dúbravka,2
Lesley Ugochukwu,4
Florentino Ibrain Morris Luís,3
Đorđe Petrović,1
Marcos Senesi Barón,3
Adrien Truffert,3
Justin Kluivert,9
Antoine Semenyo,5
Marcus Tavernier,1
Tyler Adams,0
David Brooks,10
Alex Scott,2
Francisco Evanilson de Lima Barbosa,2
Bafodé Diakité,0
Álex Jiménez Sánchez,3
Dango Ouattara,0
Caoimhín Kelleher,0
Nathan Collins,0
Keane Lewis-Potter,0
Michael Kayode,0
Sepp van den Berg,0
Kevin Schade,0
Mikkel Damsgaard,0
Jordan Henderson,0
Gustavo Nunes Fernandes Gomes,0
Yehor Yarmoliuk,0
Igor Thiago Nascimento Rodrigues,0
Bart Verbruggen,1
Maxim De Cuyper,0
Lewis Dunk,2
Ferdi Kadıoğlu,4
Jan Paul van Hecke,0
Mitoma Kaoru,1
Georginio Rutter,1
Yankuba Minteh,4
Yasin Ayari,4
Carlos Baleba,0
Diego Gómez Amarilla,2
Mats Wieffer,0
Danny Welbeck,3
Robert Lynch Sánchez,2
Marc Cucurella Saseta,0
Reece James,1
Trevoh Chalobah,1
Malo Gusto,1
Pedro Lomba Neto,1
Enzo Fernández,9
Moisés Caicedo Corozo,3
João Pedro Junqueira de Jesus,1
Dean Henderson,0
Daniel Muñoz Mejía,0
Maxence Lacroix,0
Tyrick Mitchell,0
Marc Guéhi,0
Chris Richards,0
Ismaïla Sarr,0
Will Hughes,0
Daichi Kamada,0
Adam Wharton,0
Jean-Philippe Mateta,0
Yéremy Pino Santos,0
Kiernan Dewsbury-Hall,0
Jordan Pickford,10
James Tarkowski,8
Vitalii Mykolenko,8
Jake O'Brien,8
Michael Keane,0
Iliman Ndiaye,0
Idrissa Gana Gueye,0
James Garner,16
Norberto Bercique Gomes Betuncal,1
Jack Grealish,1
Bernd Leno,0
Joachim Andersen,0
Calvin Bassey,0
Timothy Castagne,0
Kenny Tete,0
Alex Iwobi,0
Ryan Sessegnon,0
Harry Wilson,0
Sander Berge,0
Saša Lukić,0
Josh King,0
Raúl Jiménez Rodríguez,0
Karl Darlow,0
Jayden Bogle,0
Pascal Struijk,0
Gabriel Gudmundsson,0
Joe Rodon,0
Brenden Aaronson,0
Ethan Ampadu,0
Sean Longstaff,0
Anton Stach,0
Lucas Estella Perri,0
Dominic Calvert-Lewin,0
Noah Okafor,0
Alisson Becker,0
Giorgi Mamardashvili,0
Milos Kerkez,0
Virgil van Dijk,0
Ibrahima Konaté,0
Conor Bradley,0
Mohamed Salah,0
Florian Wirtz,0
Cody Gakpo,0
Alexis Mac Allister,0
Dominik Szoboszlai,0
Ryan Gravenberch,0
Hugo Ekitiké,0
Joško Gvardiol,0
Matheus Nunes,0
Rúben dos Santos Gato Alves Dias,0
Nico O'Reilly,0
Phil Foden,0
Bernardo Mota Veiga de Carvalho e Silva,0
Jérémy Doku,0
Nico González Iglesias,0
Oscar Bobb,0
Tijjani Reijnders,0
Erling Haaland,0
Gianluigi Donnarumma,0
Bryan Mbeumo,0
Altay Bayındır,0
Matthijs de Ligt,0
Diogo Dalot Teixeira,2
Patrick Dorgu,2
Luke Shaw,2
Leny Yoro,1
Bruno Borges Fernandes,0
Matheus Santos Carneiro da Cunha,2
Amad Diallo,0
Carlos Henrique Casimiro,6
Benjamin Sesko,2
Senne Lammens,3
Nick Pope,2
Fabian Schär,4
Sven Botman,0
Dan Burn,0
Tino Livramento,0
Kieran Trippier,0
Anthony Gordon,5
Anthony Elanga,0
Harvey Barnes,2
Bruno Guimarães Rodriguez Moura,10
Jacob Murphy,1
Joelinton Cássio Apolinário de Lira,8
Sandro Tonali,2
Malick Thiaw,4
Nick Woltemade,1
Matz Sels,0
Nikola Milenković,1
Murillo Costa dos Santos,1
Neco Williams,2
Felipe Rodrigues da Silva,0
Morgan Gibbs-White,2
Callum Hudson-Odoi,2
Elliot Anderson,4
Ibrahim Sangaré,0
Chris Wood,0
Dan Ndoye,0
Nicolò Savona,0
Daniel Ballard,0
Trai Hume,0
Reinildo Mandava,0
Enzo Le Fée,0
Noah Sadiki,0
Chemsdine Talbi,0
Wilson Isidor,0
Granit Xhaka,0
Robin Roefs,0
Omar Alderete,0
Nordi Mukiele,0
Guglielmo Vicario,0
Pedro Porro Sauceda,0
Cristian Romero,0
Djed Spence,0
Micky van de Ven,0
Brennan Johnson,0
Mohammed Kudus,0
Rodrigo Bentancur,0
Lucas Bergvall,0
Pape Matar Sarr,0
Richarlison de Andrade,0
João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,0
Xavi Simons,0
Alphonse Areola,2
El Hadji Malick Diouf,0
Maximilian Kilman,0
Konstantinos Mavropanos,1
Jean-Clair Todibo,1
Aaron Wan-Bissaka,0
Lucas Tolentino Coelho de Lima,13
Tomáš Souček,1
James Ward-Prowse,0
Crysencio Summerville,1
Jarrod Bowen,7
Kyle Walker-Peters,1
Mateus Gonçalo Espanha Fernandes,3
Sam Johnstone,0
Emmanuel Agbadou,0
Hugo Bueno López,5
Santiago Ignacio Bueno,0
Toti Gomes,0
André Trindade da Costa Neto,0
Jean-Ricner Bellegarde,0
Marshall Munetsi,0
Jørgen Strand Larsen,0
Jhon Arias,4
Jackson Tchatchoua,1
Ladislav Krejcí,9
